"x","y"
1,20.20499299
1,10.48936438
1,3.017787127
1,19.83908973
1,47.67796002
1,12.23984907
1,38.59265094
1,30.796804
1,16.99956384
1,51.50201987
1,53.93603749
1,11.33916737
1,55.73921447
1,11.39843752
1,32.42232472
2,2.184915524
2,0.4559807691
2,7.697599567
2,17.27580845
2,31.02049934
2,8.767228144
2,9.567237217
3,27.74438503
3,15.69645406
3,6.228811766
4,11.00335799
4,32.17288485
5,11.39600582
5,16.12676988
5,14.80908719
8,6.893595099
12,5.468240957
13,8.449904915
15,3.095819398
15,8.667381288
16,8.614769408
17,5.34378505
19,9.29902111
22,2.158820154
28,10.07647909
30,2.911036156
31,2.757005219
31,7.082528335
36,1.476803883
36,5.261076476
38,0.7099008264
42,4.266706012
44,3.682740724
51,1.223948779
59,2.448300098
68,0.3439190544
73,6.301444499
73,2.504975478
77,0.08103058085
81,0.008394736428
81,3.698902754
81,1.513813689
82,3.792695493
84,1.819781184
88,4.577773776
93,0.6041693048
101,1.413724162
104,0.01711426209
109,0.003749975554
122,0.5433464802
131,0.03243111781
142,2.452404212
144,0.0008578583552
150,0.0135308133
150,0.008705908263
156,2.168194897
160,0.1225220614
169,1.581359696
169,0.004610251499
172,0.0002499487244
172,0.003900209772
175,2.810189935e-05
188,0.0009042362031
191,1.569088994
192,2.607638788
192,2.807614646e-05
207,1.621211823e-07
218,0.8961555614
221,0.0009095314377
221,0.002387074429
232,7.031838024e-06
232,0.0002541205398
238,2.191518329
240,9.880659562e-07
241,6.177490093e-07
242,0.001039964026
253,0.0004387670716
254,8.916072645e-06
254,0.0002874673139
260,9.645194297e-07
260,0.0001635921554
266,7.106217055e-05
272,3.655553584e-07
274,2.833921639e-05
276,0.00838701546
281,3.78280447e-08
286,4.51673543e-09
286,2.456205544e-05
293,7.514675474e-06
297,5.169799977e-06
304,1.506184682
311,4.514077574e-07
311,2.047816452e-06
312,7.132699409e-08
315,7.380655234e-07
322,0.00309054023
326,2.080042805e-10
326,1.904967917e-07
331,0.0009190749075
333,1.578426944
339,5.562128536e-08
339,7.430406157e-08
343,1.187002852e-08
346,0.0001001578537
348,7.94420956e-05
348,3.254808689e-08
348,2.502716256e-09
369,3.398008956e-05
371,3.068862497e-09
371,0.9528756539
396,5.441804937e-06
414,2.899619318e-07
417,4.20126085e-08
458,1.312649545e-08
480,5.96804739e-09
901,0.3246313559
1076,0.9575016313
1081,0.1877557965
1262,0.9670160615
1419,0.9961518768
2061,0.7481148751
2125,0.08293442809
2349,0.04169443187
2362,0.01302506286
2384,0.003599013101
2403,0.00234776072
2430,0.4681676455
2448,0.0009307622288
2449,1.460136791
2455,0.2418502705
2476,2.492798706e-05
2480,0.06151107392
2528,0.1097281907
2540,6.621236253e-07
2553,0.01194056282
2577,0.1133437545
2602,0.01067887817
2621,2.024402193e-07
2657,1.280056949e-07
2686,9.785253496e-09
2756,0.5102089649
2765,0.07455776743
2776,0.0001375764942
2822,0.02119208605
2838,0.01234905176
2861,0.003871743416
2877,0.0008838849572
2913,1.651339673e-06
2957,0.0005758921269
2959,5.330798132e-05
3006,5.242588359e-06
3048,2.601927724e-06
3071,2.464022893e-06
3078,1.424768614e-08
3079,1.132272956e-06
3104,7.687869612e-07
3128,3.897165328e-07
3136,6.970745092e-09
3140,8.814680541e-09
3679,0.002542452827
3733,0.001663546918
3747,0.000774837563
3772,7.322605319e-05
3780,4.516138836e-05
3846,3.1919511e-05
3848,9.147152014e-07
3947,1.756343408e-07
3949,5.325165375e-08
4043,1.178204911e-08
4052,2.230876817e-09
4066,4.655476005e-10
4532,0.4341498149
4604,0.0158514446
4686,0.6140700873
4735,0.006630325135
4913,0.0002131203705
4979,0.01041356352
4984,1.079628464e-05
5182,2.063413888e-06
5195,7.076818065e-07
5240,1.044052738e-07
5322,1.133145133e-08
5333,8.130427886e-09
5341,1.234411684e-09
8113,0.0146309098
12959,0.03588391115
13979,0.005250398336
15100,0.001589133304
15110,0.000543482528
15213,0.0002800995664
15323,0.0002268634286
15359,6.460975356e-06
15928,6.29986619e-06
16029,2.004880525e-06
16034,3.751730997e-07
16035,3.185662489e-08
16147,1.74747008e-08
16242,4.492518357e-09
16408,1.559416596e-09
23691,0.003983009323
44388,0.006195508228
47864,0.003770059707
49223,0.01876517549
50444,0.003846214699
51024,0.0002091027843
51583,0.004249831541
52713,0.00201117877
53262,0.0009217652835
53980,7.916710229e-05
54087,0.001259501244
54218,1.785315362e-08
54808,4.870406724e-05
55302,0.0009889600429
55421,2.730203289e-05
55479,7.074613848e-06
55855,5.563656316e-06
55952,1.430414329e-06
56664,8.244046512e-08
56677,0.0004795070545
57041,0.000152294767
57104,1.442242592e-08
57176,4.371872819e-08
57511,9.89189175e-09
57527,1.144411499e-08
57686,1.286480256e-09
58535,6.330959083e-05
59838,6.536283934e-06
59866,4.621913178e-06
60123,3.41078588e-06
60390,1.019514549e-06
60549,9.016642935e-07
61167,1.401606653e-08
62148,2.97522007e-09
62179,2.54118504e-10
100857,0.003197982449
190277,0.001361974894
704587,0.0009126465523
791508,0.0005180398979
823171,0.0002889314264
1328231,0.0002399619391
1341886,0.0001289286767
1342601,2.885774256e-05
1353929,1.531297329e-06
1362452,4.535615972e-08
1388058,1.222306878e-08
1398404,2.523506737e-09
1401364,7.190692486e-12
